manager,player_id,player_roster
Domicans plus Judge,592450,"Judge, Aaron"
Dingers for Days,660271,"Ohtani, Shohei"
Abhik's Astounding Team,665742,"Soto, Juan"
Jakob's Finest Team,663728,"Raleigh, Cal"
The Second Tower's,656941,"Schwarber, Kyle"
Dominick's Dangerous Team,677951,"Witt Jr., Bobby"
"Oh god, I'm gonna homerun",691406,"Caminero, Junior"
Inhood Tater Mashers,701762,"Kurtz, Nick"
Inhood Tater Mashers,553993,"Suarez, Eugenio"
"Oh god, I'm gonna homerun",624413,"Alonso, Pete"
Dominick's Dangerous Team,608070,"Ramirez, Jose"
The Second Tower's,606466,"Marte, Ketel"
Jakob's Finest Team,666176,"Adell, Jo"
Abhik's Astounding Team,683002,"Henderson, Gunnar"
Dingers for Days,663656,"Tucker, Kyle"
Domicans plus Judge,592518,"Machado, Manny"
Domicans plus Judge,677594,"Rodriguez, Julio"
Dingers for Days,665489,"Guerrero Jr., Vladimir"
Abhik's Astounding Team,661388,"Contreras, William"
Jakob's Finest Team,596019,"Lindor, Francisco"
The Second Tower's,621566,"Olson, Matt"
Dominick's Dangerous Team,660670,"Acuna Jr., Ronald"
"Oh god, I'm gonna homerun",667670,"Rooker, Brent"
Inhood Tater Mashers,646240,"Devers, Rafael"
Inhood Tater Mashers,665862,"Chisholm Jr., Jazz"
"Oh god, I'm gonna homerun",664023,"Happ, Ian"
Dominick's Dangerous Team,670541,"Alvarez, Yordan"
The Second Tower's,521692,"Perez, Salvador"
Jakob's Finest Team,641355,"Bellinger, Cody"
Abhik's Astounding Team,608324,"Bregman, Alex"
Dingers for Days,694192,"Chourio, Jackson"
Domicans plus Judge,605141,"Betts, Mookie"
Domicans plus Judge,686469,"Pasquantino, Vinnie"
Dingers for Days,663538,"Hoerner, Nico"
Abhik's Astounding Team,680757,"Kwan, Steven"
Jakob's Finest Team,664040,"Lowe, Brandon"
The Second Tower's,682998,"Carroll, Corbin"
Dominick's Dangerous Team,680776,"Duran, Jarren"
"Oh god, I'm gonna homerun",514888,"Altuve, Jose"
Inhood Tater Mashers,608369,"Seager, Corey"
Inhood Tater Mashers,695578,"Wood, James"
"Oh god, I'm gonna homerun",682829,"De La Cruz, Elly"
Dominick's Dangerous Team,700250,"Rice, Ben"
The Second Tower's,621493,"Ward, Taylor"
Jakob's Finest Team,679529,"Torkelson, Spencer"
Abhik's Astounding Team,543807,"Springer, George"
Dingers for Days,672580,"Garcia, Maikel"
Domicans plus Judge,669127,"Langeliers, Shea"
Domicans plus Judge,668930,"Turang, Brice"
Dingers for Days,672695,"Perdomo, Geraldo"
Abhik's Astounding Team,701538,"Merrill, Jackson"
Jakob's Finest Team,673548,"Suzuki, Seiya"
The Second Tower's,672960,"Okamoto, Kazuma"
Dominick's Dangerous Team,691718,"Crow-Armstrong, Pete"
"Oh god, I'm gonna homerun",696100,"Goodman, Hunter"
Inhood Tater Mashers,665487,"Tatis Jr., Fernando"
Inhood Tater Mashers,694212,"Basallo, Samuel"
"Oh god, I'm gonna homerun",668804,"Reynolds, Bryan"
Dominick's Dangerous Team,645277,"Albies, Ozzie"
The Second Tower's,621439,"Buxton, Byron"
Jakob's Finest Team,680718,"Barger, Addison"
Abhik's Astounding Team,647304,"Naylor, Josh"
Dingers for Days,669257,"Smith, Will"
Domicans plus Judge,668227,"Arozarena, Randy"
Domicans plus Judge,592885,"Yelich, Christian"
Dingers for Days,694671,"Langford, Wyatt"
Abhik's Astounding Team,650402,"Torres, Gleyber"
Jakob's Finest Team,681481,"Carpenter, Kerry"
The Second Tower's,804606,"Griffin, Konnor"
Dominick's Dangerous Team,686948,"Baldwin, Drake"
"Oh god, I'm gonna homerun",662139,"Varsho, Daulton"
Inhood Tater Mashers,681297,"Cowser, Colton"
