manager,player_id,player_roster
Dom,663728,"Raleigh, Cal"
,660271,"Ohtani, Shohei"
Justin,656941,"Schwarber, Kyle"
,592450,"Judge, Aaron"
JT,553993,"Suárez, Eugenio"
,691406,"Caminero, Junior"
Tyler,665742,"Soto, Juan"
,624413,"Alonso, Pete"
Dylan,683737,"Busch, Michael"
,666176,"Adell, Jo"
Jake,682985,"Greene, Riley"
,701762,"Kurtz, Nick"
Mikey,677594,"Rodríguez, Julio"
,543807,"Springer, George"
Russ,621493,"Ward, Taylor"
Dom,621439,"Buxton, Byron"
,646240,"Devers, Rafael"
Justin,673548,"Suzuki, Seiya"
,663757,"Grisham, Trent"
JT,665862,"Chisholm Jr., Jazz"
,686469,"Pasquantino, Vinnie"
Tyler,682998,"Carroll, Corbin"
,691718,"Crow-Armstrong, Pete"
Dylan,696100,"Goodman, Hunter"
,665489,"Guerrero Jr., Vladimir"
Jake,669127,"Langeliers, Shea"
,596019,"Lindor, Francisco"
Mikey,664040,"Lowe, Brandon"
,679529,"Torkelson, Spencer"
Russ,695578,"Wood, James"
Dom,642715,"Adames, Willy"
,641355,"Bellinger, Cody"
Justin,606192,"Hernández, Teoscar"
,521692,"Perez, Salvador"
JT,608070,"Ramírez, José"
,667670,"Rooker, Brent"
Tyler,621566,"Olson, Matt"
,593871,"Polanco, Jorge"
Dylan,592885,"Yelich, Christian"
,668227,"Arozarena, Randy"
Jake,681481,"Carpenter, Kerry"
,592518,"Machado, Manny"
Mikey,606466,"Marte, Ketel"
,547180,"Harper, Bryce"
Russ,700932,"Manzardo, Kyle"
Dom,681624,"Pages, Andy"
,700250,"Rice, Ben"
Justin,572233,"Walker, Christian"
,514888,"Altuve, Jose"
JT,518692,"Freeman, Freddie"
,687263,"Neto, Zach"
Tyler,596115,"Story, Trevor"
,545361,"Trout, Mike"
Dylan,650490,"Díaz, Yandy"
,664023,"Happ, Ian"
Jake,607043,"Nimmo, Brandon"
,691016,"Soderstrom, Tyler"
Mikey,669065,"Stowers, Kyle"
